Date,ZC=F,ZS=F
2020-08-10,310.5,876.5
2020-08-11,311.5,878.0
2020-08-12,314.5,890.5
2020-08-13,325.25,907.25
2020-08-14,324.5,903.5
2020-08-17,331.0,912.5
2020-08-18,327.0,912.0
2020-08-19,325.0,912.5
2020-08-20,324.5,903.0
2020-08-21,327.0,900.75
2020-08-24,331.75,899.75
2020-08-25,340.75,913.75
2020-08-26,340.5,919.5
2020-08-27,344.25,937.25
2020-08-28,346.0,950.5
2020-08-31,348.5,951.25
2020-09-01,349.5,955.0
2020-09-02,349.75,962.5
2020-09-03,344.5,968.75
2020-09-04,347.25,969.5
2020-09-07,347.25,969.5
2020-09-08,351.0,973.0
2020-09-09,350.0,979.75
2020-09-10,357.25,985.0
2020-09-11,365.0,1005.5
2020-09-14,357.5,1019.25
2020-09-15,366.0,991.5
2020-09-16,371.75,1011.25
2020-09-17,375.25,1028.5
2020-09-18,378.5,1043.5
2020-09-21,369.75,1022.5
2020-09-22,369.25,1019.75
2020-09-23,368.5,1014.5
2020-09-24,363.5,1000.0
2020-09-25,365.25,1002.5
2020-09-28,366.75,996.25
2020-09-29,364.75,993.0
2020-09-30,379.0,1023.5
2020-10-01,382.75,1023.5
2020-10-02,379.75,1020.75
2020-10-05,379.5,1021.5
2020-10-06,385.0,1044.0
2020-10-07,388.75,1051.0
2020-10-08,387.0,1050.0
2020-10-09,395.0,1065.5
2020-10-12,389.0,1033.75
2020-10-13,391.25,1044.0
2020-10-14,396.5,1056.25
2020-10-15,403.75,1062.25
2020-10-16,402.0,1050.0
2020-10-19,405.25,1054.25
2020-10-20,408.75,1064.0
2020-10-21,413.75,1072.0
2020-10-22,416.25,1073.75
2020-10-23,419.25,1083.75
2020-10-26,417.75,1087.75
2020-10-27,416.0,1082.25
2020-10-28,401.5,1057.25
2020-10-29,398.5,1051.75
2020-10-30,398.5,1056.5
2020-11-02,397.5,1050.75
2020-11-03,401.0,1059.0
2020-11-04,405.25,1079.0
2020-11-05,409.25,1101.75
2020-11-06,406.75,1098.5
2020-11-09,407.5,1105.0
2020-11-10,423.0,1138.25
2020-11-11,417.25,1143.25
2020-11-12,408.25,1137.0
2020-11-13,410.5,1141.5
2020-11-16,416.25,1153.5
2020-11-17,420.25,1169.75
2020-11-18,425.75,1175.75
2020-11-19,422.5,1177.5
2020-11-20,423.25,1181.0
2020-11-23,426.5,1191.5
2020-11-24,425.75,1191.25
2020-11-25,420.0,1184.0
2020-11-26,420.0,1184.0
2020-11-27,425.5,1191.75
2020-11-30,419.75,1168.5
2020-12-01,414.75,1162.0
2020-12-02,419.0,1153.0
2020-12-03,422.5,1168.25
2020-12-04,417.0,1163.0
2020-12-07,419.5,1158.5
2020-12-08,417.0,1145.75
2020-12-09,422.0,1158.5
2020-12-10,420.25,1152.75
2020-12-11,424.25,1160.5
2020-12-14,419.25,1169.5
2020-12-15,424.75,1184.25
2020-12-16,427.25,1183.75
2020-12-17,432.5,1201.25
2020-12-18,437.5,1220.0
2020-12-21,440.0,1243.25
2020-12-22,443.5,1247.25
2020-12-23,447.25,1258.75
2020-12-24,451.0,1263.5
2020-12-25,451.0,1263.5
2020-12-28,456.5,1255.25
2020-12-29,466.0,1295.5
2020-12-30,474.5,1303.75
2020-12-31,484.0,1315.25
2021-01-01,484.0,1315.25
2021-01-04,483.75,1316.5
2021-01-05,491.75,1350.0
2021-01-06,495.0,1365.25
2021-01-07,494.0,1360.5
2021-01-08,496.25,1375.75
2021-01-11,492.25,1374.5
2021-01-12,517.25,1422.0
2021-01-13,524.5,1411.0
2021-01-14,534.25,1436.5
2021-01-15,531.5,1416.75
2021-01-18,531.5,1416.75
2021-01-19,526.0,1385.75
2021-01-20,522.0,1369.5
2021-01-21,524.25,1370.25
2021-01-22,500.5,1311.75
2021-01-25,511.5,1343.5
2021-01-26,532.25,1370.25
2021-01-27,534.0,1374.75
2021-01-28,534.5,1353.25
2021-01-29,547.0,1370.0
2021-02-01,549.25,1365.25
2021-02-02,543.0,1354.75
2021-02-03,552.0,1371.25
2021-02-04,550.0,1372.5
2021-02-05,548.5,1366.75
2021-02-08,563.75,1387.75
2021-02-09,556.25,1401.75
2021-02-10,534.5,1354.0
2021-02-11,541.0,1367.5
2021-02-12,538.75,1372.0
2021-02-15,538.75,1372.0
2021-02-16,552.25,1384.75
2021-02-17,553.0,1383.75
2021-02-18,550.25,1375.0
2021-02-19,542.75,1377.25
2021-02-22,551.0,1383.75
2021-02-23,553.75,1406.0
2021-02-24,559.25,1423.75
2021-02-25,554.75,1406.0
2021-02-26,555.5,1405.25
2021-03-01,547.5,1392.5
2021-03-02,560.75,1414.0
2021-03-03,550.25,1410.75
2021-03-04,546.25,1415.25
2021-03-05,562.0,1434.25
2021-03-08,565.0,1437.75
2021-03-09,562.0,1441.25
2021-03-10,547.75,1411.5
2021-03-11,555.0,1415.5
2021-03-12,549.25,1415.75
2021-03-15,549.5,1419.5
2021-03-16,554.25,1423.25
2021-03-17,558.0,1417.75
2021-03-18,546.5,1392.25
2021-03-19,557.75,1416.25
2021-03-22,549.0,1417.5
2021-03-23,551.25,1423.25
2021-03-24,553.25,1432.75
2021-03-25,546.5,1414.25
2021-03-26,552.5,1400.5
2021-03-29,546.75,1393.0
2021-03-30,539.25,1366.75
2021-03-31,564.25,1436.75
2021-04-01,559.75,1402.0
2021-04-02,559.75,1402.0
2021-04-05,553.25,1412.75
2021-04-06,554.25,1418.75
2021-04-07,560.5,1408.75
2021-04-08,579.75,1415.25
2021-04-09,577.25,1403.0
2021-04-12,569.0,1382.0
2021-04-13,580.0,1389.5
2021-04-14,594.0,1410.0
2021-04-15,590.0,1418.25
2021-04-16,585.5,1433.25
2021-04-19,592.0,1449.75
2021-04-20,606.5,1472.0
2021-04-21,625.5,1497.25
2021-04-22,650.5,1533.25
2021-04-23,655.5,1539.75
2021-04-26,680.5,1569.0
2021-04-27,695.5,1549.75
2021-04-28,686.25,1557.75
2021-04-29,702.0,1542.5
2021-04-30,740.0,1571.0
2021-05-03,732.25,1560.25
2021-05-04,744.75,1577.0
2021-05-05,753.25,1582.0
2021-05-06,759.5,1605.5
2021-05-07,772.75,1621.0
2021-05-10,748.0,1620.0
2021-05-11,759.5,1637.5
2021-05-12,757.5,1660.5
2021-05-13,719.0,1612.25
2021-05-14,685.0,1603.75
2021-05-17,652.5,1587.5
2021-05-18,658.25,1574.25
2021-05-19,658.25,1538.25
2021-05-20,664.5,1533.25
2021-05-21,659.5,1526.25
2021-05-24,657.25,1522.75
2021-05-25,620.25,1511.75
2021-05-26,624.5,1503.5
2021-05-27,664.5,1537.0
2021-05-28,656.75,1530.5
2021-05-31,656.75,1530.5
2021-06-01,688.75,1548.5
2021-06-02,675.0,1562.5
2021-06-03,662.0,1549.25
2021-06-04,682.75,1583.75
2021-06-07,679.25,1560.25
2021-06-08,680.0,1580.0
2021-06-09,690.75,1562.5
2021-06-10,699.0,1544.0
2021-06-11,684.5,1508.5
2021-06-14,659.25,1472.25
2021-06-15,667.5,1465.75
2021-06-16,673.0,1448.5
2021-06-17,633.0,1329.75
2021-06-18,655.25,1396.0
2021-06-21,659.25,1415.0
2021-06-22,659.75,1394.5
2021-06-23,664.25,1385.0
2021-06-24,653.25,1371.25
2021-06-25,636.5,1329.75
2021-06-28,675.5,1357.0
2021-06-29,694.5,1359.75
2021-06-30,720.0,1450.0
2021-07-01,719.75,1446.75
2021-07-02,697.25,1451.75
2021-07-05,697.25,1451.75
2021-07-06,656.0,1363.75
2021-07-07,652.5,1386.5
2021-07-08,638.0,1390.25
2021-07-09,629.75,1404.0
2021-07-12,669.25,1432.5
2021-07-13,677.0,1438.0
2021-07-14,683.0,1467.75
2021-07-15,564.25,1447.5
2021-07-16,556.0,1454.75
2021-07-19,556.0,1428.0
2021-07-20,571.75,1443.5
2021-07-21,571.75,1439.25
2021-07-22,564.5,1416.25
2021-07-23,547.25,1401.0
2021-07-26,549.75,1412.75
2021-07-27,548.75,1418.25
2021-07-28,549.25,1432.0
